,11216,33936,94804,11222,94301
2010-01-01,490200.0,46400.0,169900.0,608500.0,1710700.0
2010-02-01,490600.0,46300.0,170400.0,610000.0,1718100.0
2010-03-01,489000.0,46300.0,170100.0,599200.0,1715300.0
2010-04-01,483400.0,45500.0,167800.0,581600.0,1716500.0
2010-05-01,478500.0,44800.0,167000.0,577400.0,1723000.0
2010-06-01,475700.0,44800.0,168100.0,593100.0,1728200.0
2010-07-01,474300.0,44500.0,169800.0,605800.0,1734000.0
2010-08-01,475100.0,44000.0,171600.0,612200.0,1741900.0
2010-09-01,478900.0,43500.0,172500.0,613700.0,1745200.0
2010-10-01,484500.0,42800.0,171300.0,618400.0,1737700.0
2010-11-01,492700.0,42200.0,168800.0,622800.0,1726200.0
2010-12-01,499500.0,42300.0,167200.0,621500.0,1718000.0
2011-01-01,502500.0,42900.0,166300.0,621900.0,1709800.0
2011-02-01,505500.0,43300.0,164700.0,635100.0,1699100.0
2011-03-01,510100.0,44100.0,163500.0,662400.0,1712500.0
2011-04-01,514800.0,45300.0,163200.0,694100.0,1745600.0
2011-05-01,518500.0,46200.0,163200.0,714500.0,1779900.0
2011-06-01,524800.0,46600.0,161700.0,721300.0,1800900.0
2011-07-01,533600.0,46900.0,158600.0,727000.0,1815700.0
2011-08-01,541500.0,46900.0,154900.0,732600.0,1825300.0
2011-09-01,545400.0,46900.0,151800.0,737100.0,1834900.0
2011-10-01,546700.0,47000.0,149200.0,734300.0,1850400.0
2011-11-01,545000.0,47200.0,148000.0,731800.0,1866900.0
2011-12-01,545500.0,47600.0,148500.0,730800.0,1866800.0
2012-01-01,549500.0,48200.0,150400.0,727600.0,1865700.0
2012-02-01,558300.0,48700.0,153300.0,715800.0,1897000.0
2012-03-01,567600.0,49000.0,156500.0,707800.0,1953700.0
2012-04-01,577600.0,49200.0,159600.0,706100.0,2015400.0
2012-05-01,587300.0,49700.0,162200.0,703000.0,2074700.0
2012-06-01,596300.0,50600.0,165100.0,693500.0,2139500.0
2012-07-01,601200.0,51500.0,168400.0,691900.0,2205600.0
2012-08-01,603500.0,52500.0,171200.0,699800.0,2270200.0
2012-09-01,608000.0,53400.0,173100.0,709700.0,2327800.0
2012-10-01,617000.0,54300.0,175900.0,725000.0,2390100.0
2012-11-01,625300.0,55200.0,180400.0,741200.0,2446700.0
2012-12-01,628000.0,55800.0,185200.0,749300.0,2496300.0
2013-01-01,631400.0,56000.0,189200.0,754400.0,2536400.0
2013-02-01,635200.0,56400.0,192700.0,763400.0,2577200.0
2013-03-01,638300.0,57300.0,197300.0,774800.0,2612500.0
2013-04-01,645700.0,58400.0,202800.0,788600.0,2652900.0
2013-05-01,660800.0,59700.0,208900.0,808800.0,2710500.0
2013-06-01,680400.0,60900.0,214900.0,839100.0,2774200.0
2013-07-01,704900.0,62100.0,221800.0,862300.0,2812700.0
2013-08-01,728400.0,63500.0,227700.0,865600.0,2829300.0
2013-09-01,744700.0,64600.0,231900.0,863400.0,2847000.0
